WKT,fid,O,D,length,walkwidth2,walkwidth,width,side,buile_MAX,build_ave,build_Min,katagawa,green_ori,bridge,tunnel,crosswalk_ori,roof,river,D/H,gradient2,gradient,maxspeed,O_altitude,D_altitude,crosswalk,pedst,green,walkratio
"LINESTRING (139.6351511 35.4451014,139.6351717 35.4451211,139.6352069 35.4451548,139.6354147 35.4453537)",1,1,304,36.841,5,5,24,1,34,16.66666667,7,2,2,0,0,0,0,0,1.44,-0.005428734,0.0054,50,1.5,1.3,0,0,1,0.208333333333333
"LINESTRING (139.6351511 35.4451014,139.6350952 35.4451518,139.6346356 35.4456024,139.6345646 35.4456508)",2,1,281,81.084,0,0,4,1,37,19.325,9.9,2,0,0,0,0,0,,0.20698577,-0.002466578,0.0025,,1.5,1.3,0,0,0,0
"LINESTRING (139.6348471 35.4448707,139.6351004 35.4450629,139.6351403 35.4450932,139.6351511 35.4451014)",3,1,89,37.635,5,5,24,1,0,0,0,0,0,0,1,0,0,,0,0.002657101,-0.0027,50,1.5,1.6,0,0,0,0.208333333333333
"LINESTRING (139.6370181 35.4473158,139.6371207 35.4472557,139.638059 35.4467315)",4,2,13,114.51,4,4,14,1,68,44.5,21,,1,0,0,0,0,,0.314606742,-0.000873286,0.0009,,1.5,1.4,0,0,1,0.285714285714286
"LINESTRING (139.6373284 35.4477195,139.6372893 35.4476692,139.6370515 35.4473606,139.6370181 35.4473158)",5,2,3,52.964,10,10,30,1,68,44,20,2,2,0,0,0,0,,0.681818182,0.016992674,-0.017,,1.5,2.4,0,0,1,0.333333333333333
"LINESTRING (139.6360062 35.447893,139.6360595 35.4478625,139.6369262 35.4473701,139.6370181 35.4473158)",6,2,12,111.9,4,4,10,1,33,24.5,16,,0,0,0,0,0,,0.408163265,-0.002680965,0.0027,,1.5,1.2,0,0,0,0.4
"LINESTRING (139.6373284 35.4477195,139.6372239 35.4477705,139.6362937 35.44826,139.6362381 35.4482943)",7,3,67,117.666,7.5,7.5,19,1,31,0,26.5,,2,0,0,0,0,,0,-0.00254959,0.0025,,2.4,2.1,0,0,1,0.394736842105263
"LINESTRING (139.6376326 35.4481189,139.6375959 35.4480698,139.6373681 35.4477723,139.6373284 35.4477195)",8,3,126,52.266,9,9,23.5,1,31,25,19,2,2,0,0,0,0,,0.94,0.005739869,-0.0057,,2.4,2.7,0,0,1,0.382978723404255
"LINESTRING (139.6383772 35.4471624,139.6374429 35.4476616,139.6373284 35.4477195)",9,3,73,113.421,7.5,7.5,19,1,68,0,31,,2,0,0,0,0,,0,-0.008816709,0.0088,,2.4,1.4,0,0,1,0.394736842105263
"LINESTRING (139.6383407 35.4490416,139.6383741 35.449128)",10,4,26,10.072,11.5,0,29,1,0,0,0,0,0,0,0,1,0,,0,-0.029785544,0.0298,,2.6,2.3,1,0,0,0
"LINESTRING (139.638609 35.4494474,139.6385742 35.4494,139.6384161 35.4491845,139.6383741 35.449128)",11,4,92,41.402,5.5,5.5,15,1,31,25.5,20,2,0,0,0,0,0,,0.588235294,-0.002415342,0.0024,,2.6,2.5,0,0,0,0.366666666666667
"LINESTRING (139.6383741 35.449128,139.6385264 35.4490366,139.6390459 35.4487705,139.6393582 35.4486107,139.6394192 35.4485805)",12,4,74,112.595,5,5,25.5,0,,0,,,0,0,0,0,0,,0,-0.000888139,0.0009,,2.6,2.5,0,0,0,0.196078431372549
"LINESTRING (139.6372833 35.4496789,139.6373896 35.4496167,139.6382712 35.4491829,139.6383741 35.449128)",13,4,25,116.292,4.5,4.5,25.5,1,,0,,,0,0,0,0,0,,0,-0.002579713,0.0026,,2.6,2.3,0,0,0,0.176470588235294
"LINESTRING (139.6424612 35.448601,139.6425132 35.4485471)",14,5,6,7.623,7,0,24.5,1,,0,,,0,0,0,1,0,,0,0,0,40,2.9,2.9,1,0,0,0
"LINESTRING (139.6425132 35.4485471,139.6424593 35.448463,139.6423461 35.4483073)",15,5,241,30.671,5,5,22.5,1,,0,,,1,0,0,0,0,,0,0.003260409,-0.0033,40,2.9,3,0,0,1,0.222222222222222
"LINESTRING (139.6435943 35.4480125,139.6434771 35.4480702,139.6429665 35.4483217,139.6426022 35.4485012,139.6425132 35.4485471)",16,5,20,114.562,7,7,24.5,1,,0,,,2,0,0,0,0,,0,0.00174578,-0.0017,40,2.9,3.1,0,0,1,0.285714285714286
"LINESTRING (139.6413195 35.4491516,139.6414039 35.4491135,139.6423929 35.4486345,139.6424612 35.448601)",17,6,117,120.187,7,7,24.5,1,,0,,,2,0,0,0,0,,0,-0.00249611,0.0025,40,2.9,2.6,0,0,1,0.285714285714286
"LINESTRING (139.6422735 35.4483421,139.6423961 35.4484977,139.6424612 35.448601)",18,6,242,33.471,5,5,22.5,1,,0,,,1,0,0,0,0,,0,-0.002987661,0.003,40,2.9,2.8,0,0,1,0.222222222222222
"LINESTRING (139.6416053 35.4474589,139.6416844 35.4474178)",19,7,655,8.499,5,0,25.5,1,0,0,0,0,0,0,0,1,0,,0,0,0,,3.4,3.4,1,0,0,0
"LINESTRING (139.6416053 35.4474589,139.6416571 35.4475308,139.6418629 35.4478035)",20,7,83,44.865,5,5,22.5,1,,0,,,2,0,0,0,0,,0,-0.008915636,0.0089,40,3.4,3,0,0,1,0.222222222222222
"LINESTRING (139.6415573 35.4473987,139.6416053 35.4474589)",21,7,77,7.982,4.5,0,22.5,1,0,0,0,0,0,0,0,1,0,,0,0,0,50,3.4,3.4,1,0,0,0
"LINESTRING (139.6404997 35.4480275,139.6405642 35.4479979,139.6410853 35.4477284,139.6415173 35.4475048,139.6416053 35.4474589)",22,7,116,118.446,5,5,25.5,1,46,25.25,17,2,0,0,0,0,0,,1.00990099,-0.003377066,0.0034,,3.4,3,0,0,0,0.196078431372549
"LINESTRING (139.637662 35.4424274,139.6377081 35.4425527)",23,8,90,14.545,5.5,0,18,1,0,0,0,0,0,0,0,1,0,,0,-0.055001719,0.055,,2.4,1.6,1,0,0,0
"LINESTRING (139.6371438 35.4420907,139.6375854 35.4423547,139.637662 35.4424274)",24,8,203,60.274,5.5,5.5,18,1,41,30,10,2,0,0,0,0,0,,0.6,-0.018249992,0.0182,40,2.4,1.3,0,0,0,0.305555555555556
"LINESTRING (139.637662 35.4424274,139.6375653 35.4425251,139.6375211 35.4425756,139.6373533 35.4427207)",25,8,661,43.02,7,7,20,1,,0,,,2,0,0,0,0,,0,-0.011622501,0.0116,50,2.4,1.9,0,0,1,0.35
"LINESTRING (139.6377868 35.4424715,139.637662 35.4424274)",26,8,91,12.323,5.7,0,18,1,0,0,0,0,0,0,0,1,0,,0,-0.064919257,0.0649,,2.4,1.6,1,0,0,0
"LINESTRING (139.638038 35.4420239,139.637662 35.4424274)",27,8,209,56.332,5,5,29,1,41,32.975,29,2,2,0,0,0,0,,0.879454132,-0.01242633,0.0124,40,2.4,1.7,0,0,1,0.172413793103448
"LINESTRING (139.6397238 35.4450464,139.6396645 35.4450747,139.6387073 35.4456063,139.6386639 35.4456488)",28,9,112,117.315,5,5,15.5,1,,0,,,2,0,0,0,0,,0,0.000852406,-0.0009,,0.8,0.9,0,0,1,0.32258064516129
