WKT,fid,O,D,length,walkwidth2,walkwidth,width,side,buile_MAX,build_ave,build_Min,katagawa,green_ori,bridge,tunnel,crosswalk_ori,roof,river,D/H,gradient2,gradient,maxspeed,O_altitude,D_altitude,crosswalk,pedst,green,walkratio,road,sidewalk,building,wall,fence,pole,traffic li,traffic si,vegetation,terrain,sky,unlabeled,rider,car,truck,bus,train,motorcycle,bycycle,others
"LINESTRING (139.6351511 35.4451014,139.6351717 35.4451211,139.6352069 35.4451548,139.6354147 35.4453537)",1,1,304,36.841,5.0,5.0,24.0,1,34.0,16.66666667,7.0,2.0,2,0,0,0,0,0.0,1.44,-0.005428734,0.0054,50.0,1.5,1.3,0,0,1,0.208333333333333,0.215988889,0.027384443999999997,0.392313333,0.0,2.22e-06,0.021743332999999997,0.0009,0.022307777999999997,0.132427778,0.0029077779999999998,0.0032066670000000003,0.000965556,0.0,0.07028999999999999,0.056682222000000004,0.012776667,0.0,0.001344444,0.0,6976.6
"LINESTRING (139.6351511 35.4451014,139.6350952 35.4451518,139.6346356 35.4456024,139.6345646 35.4456508)",2,1,281,81.084,4.0,4.0,4.0,2,37.0,19.325,9.9,2.0,0,0,0,0,0,,0.20698577,-0.002466578,0.0025,,1.5,1.3,0,0,0,0.0,0.27225679,0.068774691,0.167258025,0.000190741,0.018035185,0.016646914,0.00107963,0.014288272,0.314359877,0.039054321,0.04657284,0.004054938,0.00012469100000000002,0.012261728000000001,0.000446914,5.31e-05,0.0,0.0,0.0006641980000000001,4297.888889
"LINESTRING (139.6348471 35.4448707,139.6351004 35.4450629,139.6351403 35.4450932,139.6351511 35.4451014)",3,1,89,37.635,5.0,5.0,24.0,1,0.0,0.0,0.0,0.0,0,0,1,0,0,,0.0,0.002657101,-0.0027,50.0,1.5,1.6,0,0,0,0.208333333333333,0.273534444,0.025803332999999998,0.389328889,0.0,0.021465556,0.017422222,0.0011244439999999998,0.013673333000000001,0.050704444,0.000632222,0.004357778,0.00535,0.0,0.061956667,0.004507778,0.000262222,0.0,0.0,0.00043,23300.4
"LINESTRING (139.6370181 35.4473158,139.6371207 35.4472557,139.638059 35.4467315)",4,2,13,114.51,4.0,4.0,14.0,1,68.0,44.5,21.0,,1,0,0,0,0,,0.314606742,-0.000873286,0.0009,,1.5,1.4,0,0,1,0.28571428571428603,0.029308586,0.098439899,0.502309596,0.00030555599999999996,0.018371717,0.021424747,0.000262121,0.009559596,0.061228283,0.009660100999999999,0.065043434,0.005578788,0.0,0.15687373699999999,0.006084848,1.52e-05,0.0,0.0,0.001001515,2615.818182
"LINESTRING (139.6373284 35.4477195,139.6372893 35.4476692,139.6370515 35.4473606,139.6370181 35.4473158)",5,2,3,52.964,10.0,10.0,30.0,1,68.0,44.0,20.0,2.0,2,0,0,0,0,,0.681818182,0.016992674,-0.017,,1.5,2.4,0,0,1,0.33333333333333304,0.200482407,0.036888889,0.20051388899999997,9.259999999999999e-07,0.008997222,0.021300926,0.000912963,0.0057712959999999995,0.279659259,0.043351852,0.04002037,0.0045888890000000005,3.3299999999999996e-05,0.080400926,0.017841667,0.004486111,0.0,0.0,0.0010444439999999998,9666.833333
"LINESTRING (139.6360062 35.447893,139.6360595 35.4478625,139.6369262 35.4473701,139.6370181 35.4473158)",6,2,12,111.9,4.0,4.0,10.0,1,33.0,24.5,16.0,,0,0,0,0,0,,0.408163265,-0.002680965,0.0027,,1.5,1.2,0,0,0,0.4,0.06240463,0.058412037,0.43541527799999996,0.000141667,0.09614351900000001,0.0245,0.000735185,0.027922222000000003,0.048955556,0.00249213,0.060979167,0.0014199070000000002,0.000112963,0.16071713,0.00036713,0.000285185,0.0,0.001176852,0.000168519,3177.166667
"LINESTRING (139.6373284 35.4477195,139.6372239 35.4477705,139.6362937 35.44826,139.6362381 35.4482943)",7,3,67,117.666,7.5,7.5,19.0,1,31.0,0.0,26.5,,2,0,0,0,0,,0.0,-0.00254959,0.0025,,2.4,2.1,0,0,1,0.39473684210526294,0.19500370399999997,0.066848148,0.341816667,0.0,0.01094537,0.030119907,0.002168519,0.006138426,0.15999398199999998,0.008665278,0.033396759,0.004402315,0.0,0.09397685199999999,0.012884722,0.00018194400000000002,0.0,0.0,0.0007611110000000001,5885.333333
"LINESTRING (139.6376326 35.4481189,139.6375959 35.4480698,139.6373681 35.4477723,139.6373284 35.4477195)",8,3,126,52.266000000000005,9.0,9.0,23.5,1,31.0,25.0,19.0,2.0,2,0,0,0,0,,0.94,0.005739869,-0.0057,,2.4,2.7,0,0,1,0.382978723404255,0.257988889,0.023022222000000002,0.165134259,0.0,0.005634259,0.011647221999999999,0.002069444,0.005085185,0.314621296,0.027477777999999998,0.040128704,0.002661111,0.0,0.09917129599999999,0.000322222,0.011174073999999999,0.0,0.0,6.48e-06,6094.0
"LINESTRING (139.6383772 35.4471624,139.6374429 35.4476616,139.6373284 35.4477195)",9,3,73,113.421,7.5,7.5,19.0,1,68.0,0.0,31.0,,2,0,0,0,0,,0.0,-0.008816709,0.0088,,2.4,1.4,0,0,1,0.39473684210526294,0.174637879,0.047332828,0.289599495,0.000445455,0.058982322999999996,0.025879798,0.000951515,0.004658586,0.17820606100000003,0.017743434,0.019499495,0.00525202,0.0,0.095021212,0.010090404,0.005228788,0.0,0.000138889,0.000173232,11908.54545
"LINESTRING (139.6383407 35.4490416,139.6383741 35.449128)",10,4,26,10.072000000000001,11.5,11.5,29.0,1,0.0,0.0,0.0,0.0,0,0,0,1,0,,0.0,-0.029785544,0.0298,,2.6,2.3,1,0,0,0.0,0.2821,0.0799,0.495427778,0.009333333000000001,0.006477778000000001,0.033744444,0.006355556,0.009716667,0.050038889,0.005044444,5e-05,0.0017888889999999999,0.0,0.010633333,0.0,0.0,0.0,0.0,0.0,1690.0
"LINESTRING (139.638609 35.4494474,139.6385742 35.4494,139.6384161 35.4491845,139.6383741 35.449128)",11,4,92,41.402,5.5,5.5,15.0,1,31.0,25.5,20.0,2.0,0,0,0,0,0,,0.588235294,-0.002415342,0.0024,,2.6,2.5,0,0,0,0.3666666666666671,0.186406667,0.064165556,0.369768889,0.0,0.019847778,0.03404,0.001806667,0.008845556,0.131972222,0.0011344439999999999,0.04807888900000001,0.006103333000000001,0.0,0.07871444400000001,5.7799999999999995e-05,0.000206667,0.0,0.0,0.00044,8714.0
"LINESTRING (139.6383741 35.449128,139.6385264 35.4490366,139.6390459 35.4487705,139.6393582 35.4486107,139.6394192 35.4485805)",12,4,74,112.595,5.0,5.0,25.5,1,,0.0,,,0,0,0,0,0,,0.0,-0.0008881389999999999,0.0009,,2.6,2.5,0,0,0,0.19607843137254896,0.214176389,0.0128125,0.197440278,0.000223148,0.050596296,0.016955093,0.001053704,0.008744444,0.256985648,0.03287037,0.038478241,0.001021296,0.0,0.136844907,0.0036319440000000002,0.010343056,0.0,0.0,0.0,3208.083333
"LINESTRING (139.6372833 35.4496789,139.6373896 35.4496167,139.6382712 35.4491829,139.6383741 35.449128)",13,4,25,116.292,4.5,4.5,25.5,1,,0.0,,,0,0,0,0,0,,0.0,-0.002579713,0.0026,,2.6,2.3,0,0,0,0.17647058823529396,0.216720202,0.023564141,0.221826263,0.0,0.03315101,0.01615303,0.0009318180000000001,0.008573232,0.203822222,0.023613636,0.05850404,0.001529293,0.0,0.13066515199999998,0.021549495,0.004311616,0.0,0.0,2.8300000000000003e-05,6310.181818
"LINESTRING (139.6424612 35.448601,139.6425132 35.4485471)",14,5,6,7.622999999999999,7.0,7.0,24.5,1,,0.0,,,0,0,0,1,0,,0.0,0.0,0.0,40.0,2.9,2.9,1,0,0,0.0,0.31707777800000003,0.008172222,0.137583333,0.000588889,0.067205556,0.0066777780000000005,0.005638889,0.007088889,0.19396111100000002,0.004888889,0.100377778,8.329999999999999e-05,0.0,0.08306111099999999,0.019366667,1.11e-05,0.0,0.0,2.78e-05,8674.0
